Country Name,Country Code,Time,Time Code,Agricultural land (% of land area) [AG.LND.AGRI.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Forest area (% of land area) [AG.LND.FRST.ZS],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Current account balance (BoP, current US$) [BN.CAB.XOKA.CD]",Net migration [SM.POP.NETM],Population growth (annual %) [SP.POP.GROW],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",Expense (current LCU) [GC.XPN.TOTL.CN],"Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]"
Pakistan,PAK,2016,YR2016,47.7298671647987,91.8323059082031,42.26807,36.234,0.848207168777178,5.01795350767954,5.52673584476604,1468.82207690892,3.76511916356584,3.756,-7190898000,-2290411,1.20405567252781,65.88,60.6,..,49.742,11.4444694519043
Pakistan,PAK,2017,YR2017,48.0009858862599,92.6610260009766,39.84668,36.442,0.918472672488548,4.99418845994188,4.43262590683975,1567.64061969895,4.08537368032604,3.913,-16179621000,-1574581,1.32813543357738,66.297,59,..,49.328,12.0632429122925
Pakistan,PAK,2018,YR2018,47.9361249481112,93.3974914550781,37.41642,36.666,0.850427079681196,4.94056143628061,6.15170261099519,1620.7425960251,5.07805725868917,4.08,-18858987000,-1309609,1.5371724033626,66.482,57.4,..,48.91,12.192479133606
Pakistan,PAK,2019,YR2019,47.1188771274388,93.9,38.3089,36.907,0.824459652346009,4.88693441261934,2.49763692943365,1437.1658337701,10.5783618004555,4.83,-8557928000,-1177218,1.6079813474837,66.756,55.9,..,49.108,11.5915641784668
Pakistan,PAK,2020,YR2020,47.6377646326276,94.4852828979492,38.34922,37.165,0.81036021551031,4.83330738895807,-1.27408744338709,1322.31478270271,9.73999313898131,6.55,-650874000.000002,-588736,1.73302782045863,66.269,54.4,..,47.762,10.7962121963501
Pakistan,PAK,2021,YR2021,47.0929327521793,94.9228591918945,37.54371,37.44,..,4.7796803652968,6.48708677384843,1505.01019279459,9.49621056124979,6.34,-12283106000,-471395,1.83406208240793,66.098,52.8,..,49.387,7.81720781326294
Pakistan,PAK,2022,YR2022,..,..,..,37.731,..,..,6.18815547351159,1596.66266149236,19.8738599646653,6.416,-12129108000,..,1.89324559780014,..,..,..,49.365,9.40440368652344
Russian Federation,RUS,1998,YR1998,13.2643318906314,100,11.68733,73.359,10.076231463632,49.3980807384029,-5.29996162531226,1834.86181640625,27.6856798076743,13.26,71060000,464127,-0.165486143348056,67.029756097561,16.7,658498000000,50.417,..
Russian Federation,RUS,1999,YR1999,13.2281702241387,100,15.00803,73.354,10.3503285566932,49.3782924744226,6.39991468973531,1330.75720214844,85.7464940960636,13.04,22855420000,518140,-0.309278191504336,65.9821951219512,16.2,978446000000,53.257,..
Russian Federation,RUS,2000,YR2000,13.2566688683588,97.8066482543945,14.49239,73.35,10.6676603031679,49.4018499097143,10.000066815788,1771.59411621094,20.7987606558703,10.58,45382380000,404928,-0.420614990249978,65.4836585365854,15.5,1546086000000,54.758,8.36431217193604
